Instancia,Algoritmo,Cores,Conflitos,Tempo (s),Gap para ótimo
miles1000.col,BFS-CA,46,0,0.0028,4
miles1000.col,Welsh-Powell,43,0,0.0118,1
miles1000.col,DSATUR,42,0,0.0289,0
