Instancia,Algoritmo,Cores,Conflitos,Tempo (s),Gap para otimo
miles250.col,DSATUR,8,0,0.0,0
miles500.col,BFS-CA,21,0,0.0,1
miles500.col,Welsh-Powell,20,0,0.0,0
miles500.col,DSATUR,20,0,0.0,0
miles750.col,BFS-CA,34,0,0.001,3
miles750.col,Welsh-Powell,32,0,0.0,1
miles750.col,DSATUR,31,0,0.0162,0
queen11_11.col,BFS-CA,18,0,0.0,7
queen11_11.col,Welsh-Powell,17,0,0.0088,6
queen11_11.col,DSATUR,16,0,0.011,5
queen13_13.col,BFS-CA,21,0,0.0166,8
queen13_13.col,Welsh-Powell,23,0,0.001,10
queen13_13.col,DSATUR,17,0,0.0159,4
queen5_5.col,BFS-CA,8,0,0.0,3
queen5_5.col,Welsh-Powell,7,0,0.0,2
queen5_5.col,DSATUR,5,0,0.0,0
queen6_6.col,BFS-CA,10,0,0.001,3
queen6_6.col,Welsh-Powell,9,0,0.0,2
queen6_6.col,DSATUR,9,0,0.001,2
queen7_7.col,BFS-CA,11,0,0.001,4
queen7_7.col,Welsh-Powell,12,0,0.0013,5
queen7_7.col,DSATUR,10,0,0.002,3
queen8_12.col,BFS-CA,15,0,0.0,3
queen8_12.col,Welsh-Powell,15,0,0.0033,3
queen8_12.col,DSATUR,14,0,0.002,2
queen8_8.col,BFS-CA,14,0,0.0,5
queen8_8.col,Welsh-Powell,13,0,0.0,4
queen8_8.col,DSATUR,13,0,0.0164,4
queen9_9.col,BFS-CA,15,0,0.0,5
queen9_9.col,Welsh-Powell,15,0,0.0,5
queen9_9.col,DSATUR,13,0,0.005,3
myciel3.col,BFS-CA,4,0,0.0,0
myciel3.col,Welsh-Powell,4,0,0.0,0
myciel3.col,DSATUR,4,0,0.0,0
myciel4.col,BFS-CA,5,0,0.0,0
myciel4.col,Welsh-Powell,5,0,0.0,0
myciel4.col,DSATUR,5,0,0.0,0
myciel5.col,BFS-CA,6,0,0.0,0
myciel5.col,Welsh-Powell,6,0,0.001,0
myciel5.col,DSATUR,6,0,0.001,0
myciel6.col,BFS-CA,7,0,0.0,0
myciel6.col,Welsh-Powell,7,0,0.001,0
myciel6.col,DSATUR,7,0,0.0032,0
myciel7.col,BFS-CA,8,0,0.0,0
myciel7.col,Welsh-Powell,8,0,0.002,0
myciel7.col,DSATUR,8,0,0.0116,0
